timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260624_133318,a18,PHASE_cinc2013,,,,,15.3333,20.7207,17.6245,23.0,88.0,127.0,39.6802,111.0,150.0
20260624_133318,a19,PHASE_cinc2013,,,,,94.4882,100.0,97.166,120.0,0.0,7.0,5.7479,120.0,127.0
20260624_133318,a20,PHASE_cinc2013,,,,,93.8931,99.1935,96.4706,123.0,1.0,8.0,6.675,124.0,131.0
20260624_133318,a21,PHASE_cinc2013,,,,,74.4828,77.6978,76.0563,108.0,31.0,37.0,13.3474,139.0,145.0
20260624_133318,a22,PHASE_cinc2013,,,,,100.0,100.0,100.0,126.0,0.0,0.0,1.2125,126.0,126.0
20260624_133318,a23,PHASE_cinc2013,,,,,96.8254,99.187,97.992,122.0,1.0,4.0,3.1369,123.0,126.0
20260624_133318,a24,PHASE_cinc2013,,,,,97.561,100.0,98.7654,120.0,0.0,3.0,2.9529,120.0,123.0
20260624_133318,a25,PHASE_cinc2013,,,,,93.6,100.0,96.6942,117.0,0.0,8.0,5.7664,117.0,125.0
20260624_133318,a26,PHASE_cinc2013,,,,,86.2319,85.6115,85.9206,119.0,20.0,19.0,10.2244,139.0,138.0
20260624_133318,a27,PHASE_cinc2013,,,,,82.2222,83.4586,82.8358,111.0,22.0,24.0,12.5004,133.0,135.0
20260624_133318,a28,PHASE_cinc2013,,,,,87.4251,98.6486,92.6984,146.0,2.0,21.0,15.3108,148.0,167.0
20260624_133318,a29,PHASE_cinc2013,,,,,74.0157,71.2121,72.5869,94.0,38.0,33.0,15.0528,132.0,127.0
20260624_133318,a30,PHASE_cinc2013,,,,,75.0,80.7692,77.7778,105.0,25.0,35.0,18.0499,130.0,140.0
20260624_133318,a31,PHASE_cinc2013,,,,,91.2409,94.697,92.9368,125.0,7.0,12.0,7.9669,132.0,137.0
20260624_133318,a32,PHASE_cinc2013,,,,,100.0,100.0,100.0,152.0,0.0,0.0,4.175,152.0,152.0
20260624_133318,a33,PHASE_cinc2013,,,,,92.1429,90.8451,91.4894,129.0,13.0,11.0,7.8811,142.0,140.0
20260624_133318,a34,PHASE_cinc2013,,,,,75.5725,77.3437,76.4479,99.0,29.0,32.0,17.8284,128.0,131.0
20260624_133318,a35,PHASE_cinc2013,,,,,85.8896,96.5517,90.9091,140.0,5.0,23.0,17.9892,145.0,163.0
